[13.01.2026 20:01] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768316415839_a3b2e3fbecdd4edab34e7891e8c2c380.mp4 | Цена перевода: $0.0032
[13.01.2026 20:06] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768316415839_a3b2e3fbecdd4edab34e7891e8c2c380.mp4 | Цена перевода: $0.0032
[13.01.2026 21:09] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768320573246_a85d06a382864e848256b0923c7c73a5.mp4 | Цена перевода: $0.0034
[13.01.2026 21:10] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768320573246_a85d06a382864e848256b0923c7c73a5.mp4 | Цена перевода: $0.0034
[13.01.2026 21:15] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768320573246_a85d06a382864e848256b0923c7c73a5.mp4 | Цена перевода: $0.0034
[13.01.2026 22:18] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768324718425_200fef5a1b1641febaa7a43db95bea00.mp4 | Цена перевода: $0.0035
[13.01.2026 22:19] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768324718425_200fef5a1b1641febaa7a43db95bea00.mp4 | Цена перевода: $0.0035
[13.01.2026 22:24] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768324718425_200fef5a1b1641febaa7a43db95bea00.mp4 | Цена перевода: $0.0035
[13.01.2026 23:29] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768328898344_a730e72c575f49d2939dc8fee30d5af5.mp4 | Цена перевода: $0.0038
[13.01.2026 23:29] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768328898344_a730e72c575f49d2939dc8fee30d5af5.mp4 | Цена перевода: $0.0038
[13.01.2026 23:34] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768328898344_a730e72c575f49d2939dc8fee30d5af5.mp4 | Цена перевода: $0.0038
